ed,Date (Planned),Date (Published),Month,Day,Name,Title,Detail,Examples,Status,Creator,Time (in minutes),Video Link,Sound/Music
13,21/12/2023,22 Dec 2023,December,Friday,"String.upper()
String.lower()
String.title()
String.capitalize()",string function in python,"1:upper()
2: lower()
3: title()
4: capitalize()",4,Done,Shumaila,5,https://youtu.be/Xsnkz6IvGvk,TRUE
1,21/12/2023,23 Dec 2023,December,Saturday,Set,Set in Python,Introduction to set,,Done,Mehraj,10,https://youtu.be/aYs_FLsYWkU,TRUE
2,22/12/2023,23 Dec 2023,December,Saturday,"Set.union()
Set.intersect()",Set Methods in Python,"1: Union in Set   
2: Intersection in Set",4,Done,Mehraj,6,https://youtu.be/dgpiQ_hvdcM,TRUE
3,23/12/2023,23 Dec 2023,December,Saturday,List,List in Python,Introduction to List,,Done,Mehraj,1,https://youtu.be/9oSPt6TGJoQ,FALSE
4,25/12/2023,25 Dec 2023,December,Monday,,Add formula in google sheet,,,Done,Mehraj,1,https://youtu.be/eSPDyZhAADA,FALSE
5,25/12/2023,25 Dec 2023,December,Monday,,Python simle calculator,"Four Oprators:
1: Add
2:Substract
3:Divide
4:Multiply",,Done,Mehraj,5,https://youtu.be/sua7ZuSq5sE,TRUE
6,27/12/2023,27 Dec 2023,December,Wednesday,"List.remove()
List.pop()
List.clear()
del",List Funtions Python,"Functions for Delete Elements from List:
1: del
2: pop( )
3 remove( )
4: clear( )",,Done,Mehraj,,https://youtu.be/msOCEyB6M74,FALSE
7,27/12/2023,27 Dec 2023,December,Wednesday,,divide formula in google sheet,divide formula in google sheet,,Done,Mehraj,,,FALSE
8,27/12/2023,27 Dec 2023,December,Wednesday,,substract formula in google sheet,substract formula in google sheet,,Done,Mehraj,,https://youtu.be/kBf7N5iY3u4,FALSE
14,Dec/27/23,27 Dec 2023,December,Wednesday,"String.lstrip()
String.rstrip()
String.strip()",string function in python,"1: lstrip
2: rstrip
3: strip",,Done,Shumaila,7,https://youtu.be/tNPCoumGwYA,TRUE
15,Dec/27/23,27 Dec 2023,December,Wednesday,"String.startwith()
String.endswith()",string function in python,"1: startswith()
2: endswith()",,Done,Shumaila,6,https://youtu.be/zruq0yhnHmg,TRUE
16,27/12/2023,27 Dec 2023,December,Wednesday,,Convert list in Tuple,"1. List: Introduction to list.
2.Tuple: Introduction to tuple.",,Done,Rimsha,,https://youtu.be/C_kBJdkexZU,FALSE
17,27/12/2023,28 Dec 2023,December,Thursday,,Convert list in Tuple,"1. List: Introduction to list.
2.Tuple: Introduction to tuple.",,Done,Rimsha,,https://youtu.be/C_kBJdkexZU,FALSE
18,28/12/2023,28 Dec 2023,December,Thursday,,"python Interview Question and
Answers",Best Tricky python Question,,Done,Rimsha,,https://youtu.be/pAp3Az27XyU,FALSE
19,29/12/2023,29 Dec 2023,December,Friday,while,while loop,Create any table using while loop,,Done,Rimsha,,https://youtu.be/Fr7U3O--lGY,FALSE
20,29/12/2023,29 Dec 2023,December,Friday,String.isspace(),string function in python,1: isspace function,,Done,Shumaila,3,https://youtu.be/VJ81Wo0C0UY,TRUE
21,29/12/203,29 Dec 2023,December,Friday,"String.replace()
String.join()",string function in python,"1: replace()
2: join()",,Not Done,Shumaila,8,https://youtu.be/OsbrZIaooIs,TRUE
22,29/12/2023,29 Dec 2023,December,Friday,,programiz python Quiz,Only python Masters can solve These Quizzes,,Done,Rimsha,,https://youtu.be/NiZ34-uaIxs,FALSE
23,30/12/2023,30 Dec 2023,December,Saturday,,Top 4 questions about python,"what is python?
what is the namespaces in python?
what are the benefits of python?
what is scope in python?",,Done,Mehraj,1,https://youtu.be/PzTp1SBSThM,FALSE
24,30/12/2023,30 Dec 2023,December,Saturday,"String.replace()
String.join()",string function in python,"replacce(), join() functions",,Done,Shumaila,8,https://youtu.be/OsbrZIaooIs,TRUE
25,30/12/2023,30 Dec 2023,December,Saturday,tuple,Tuple in python,Introduction to tuple in python,,Done,Rimsha,,https://youtu.be/Ce_tPUtN-9g,FALSE
26,Jan/1/24,1 Jan 2024,January,Monday,"float
input()",Float input from user,take float input from user,,Done,Mehraj,2,https://youtu.be/tU6WwIGckCc,FALSE
27,Jan/1/24,1 Jan 2024,January,Monday,,Covnvert string to float or int in python,how to convert string to float or int in python,,Done,Mehraj,3,https://youtu.be/rbPag3cAQEY,TRUE
28,Jan/1/24,1 Jan 2024,January,Monday,String.reverse(),string function in python,reverse() method,,Done,Shumaila,2,https://youtu.be/UB4N9UNKSLc,TRUE
29,Jan/1/24,1 Jan 2024,January,Monday,String.index(),string method in python,index () method,,Done,Shumaila,2,https://youtu.be/SRXp8GHFB3w,TRUE
30,Jan/1/24,1 Jan 2024,January,Monday,Dictionary vs Set,"Difference between Dictionary 
and set","Difference between Dictionary 
and set in python",,Done,Mehraj,2,https://youtu.be/r6frKbOAOEE,FALSE
31,Jan/1/24,1 Jan 2024,January,Monday,comments,Comment in python,Introduction to Comment in python,,Done,Rimsha,8,https://youtu.be/OEmIsp6jabo,FALSE
34,Jan/2/24,2 Jan 2024,January,Tuesday,List.center(),String method in python ,center() method,,Done,Rimsha,3,https://youtu.be/5Ug-leBmibE,FALSE
35,Jan/2/24,2 Jan 2024,January,Tuesday,String.zfill(),String method in python ,zfill() method,,Done,Rimsha,,https://youtu.be/nFJR4BS_eBA,FALSE
36,Jan/2/24,2 Jan 2024,January,Tuesday,String.isdigit(),String method in python ,Isdigit() method,,Done,Rimsha,,https://youtu.be/bWBl_WYkFOo,FALSE
